timestamp,ax,ay,az,vx,vy,vz,rms,status
2026-05-02T19:37:33.192,0.343,0.011,-0.895,0.014,0.006,0.036,0.033,NORMAL
2026-05-02T19:37:33.692,0.307,0.002,-0.943,-0.02,-0.003,-0.008,0.033,NORMAL
2026-05-02T19:37:34.192,0.312,-0.014,-0.951,-0.018,-0.018,-0.012,0.03,NORMAL
2026-05-02T19:37:34.692,0.333,-0.004,-0.946,0.0,-0.008,-0.009,0.031,NORMAL
2026-05-02T19:37:35.192,0.338,0.011,-0.976,0.004,0.006,-0.037,0.03,NORMAL
2026-05-02T19:37:35.691,0.351,0.009,-0.946,0.017,0.007,-0.007,0.03,NORMAL
2026-05-02T19:37:36.192,0.332,-0.021,-0.936,0.001,-0.023,0.001,0.03,NORMAL
2026-05-02T19:37:36.691,0.318,-0.008,-0.908,-0.013,-0.009,0.029,0.031,NORMAL
2026-05-02T19:37:37.192,0.311,-0.01,-0.942,-0.021,-0.011,-0.008,0.031,NORMAL
2026-05-02T19:37:37.691,0.351,0.001,-0.957,0.019,0.002,-0.025,0.03,NORMAL
2026-05-02T19:37:38.191,0.347,0.018,-0.89,0.02,0.017,0.038,0.032,NORMAL
2026-05-02T19:37:38.691,0.33,0.014,-0.935,0.004,0.012,-0.005,0.03,NORMAL
2026-05-02T19:37:39.192,0.314,-0.019,-0.951,-0.016,-0.021,-0.017,0.031,NORMAL
2026-05-02T19:37:39.692,0.347,-0.012,-0.937,0.013,-0.014,-0.002,0.03,NORMAL
2026-05-02T19:37:40.192,0.354,-0.002,-0.933,0.018,-0.003,0.001,0.03,NORMAL
2026-05-02T19:37:40.691,0.317,-0.002,-0.925,-0.019,-0.002,0.008,0.03,NORMAL
2026-05-02T19:37:41.191,0.334,0.007,-0.939,0.0,0.007,-0.008,0.03,NORMAL
2026-05-02T19:37:41.691,0.327,0.0,-0.904,-0.004,0.0,0.027,0.031,NORMAL
2026-05-02T19:37:42.191,0.286,0.008,-0.95,-0.042,0.005,-0.017,0.031,NORMAL
2026-05-02T19:37:42.691,0.322,0.007,-0.931,-0.006,0.003,0.0,0.031,NORMAL
2026-05-02T19:37:43.191,0.351,0.014,-0.928,0.025,0.009,0.003,0.031,NORMAL
2026-05-02T19:37:43.691,0.336,0.026,-0.935,0.011,0.02,-0.004,0.031,NORMAL
2026-05-02T19:37:44.191,0.315,0.003,-0.938,-0.01,-0.002,-0.006,0.031,NORMAL
2026-05-02T19:37:44.691,0.336,-0.016,-0.917,0.011,-0.02,0.016,0.03,NORMAL
